league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,season_start,stat_type
ENG-Premier League,2018/19,Bournemouth,Joshua King,NOR,"FW,MF",26,1992,32.9,12,72,23,31.9,2.19,0.7,0.17,0.52,5,6,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Junior Stanislas,ENG,"MF,DF",28,1989,11.5,2,34,10,29.4,2.97,0.87,0.06,0.2,1,1,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Lewis Cook,ENG,MF,21,1997,8.0,0,4,0,0.0,0.5,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Lys Mousset,FRA,FW,22,1996,4.1,1,12,7,58.3,2.93,1.71,0.08,0.14,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Nathan Aké,NED,DF,23,1995,37.9,4,25,8,32.0,0.66,0.21,0.16,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Nathaniel Clyne,ENG,DF,27,1991,12.7,0,2,0,0.0,0.16,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Ryan Fraser,SCO,MF,24,1994,35.2,7,51,25,49.0,1.45,0.71,0.14,0.28,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Sam Surridge,ENG,FW,20,1998,0.1,0,2,1,50.0,13.85,6.92,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Simon Francis,ENG,DF,33,1985,13.7,0,4,1,25.0,0.29,0.07,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Steve Cook,ENG,DF,27,1991,31.0,1,21,9,42.9,0.68,0.29,0.05,0.11,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Tyrone Mings,ENG,DF,25,1993,1.6,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Alireza Jahanbakhsh,IRN,"MF,FW",24,1993,11.3,0,21,6,28.6,1.85,0.53,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Anthony Knockaert,FRA,"MF,FW",26,1991,20.4,2,27,9,33.3,1.32,0.44,0.07,0.22,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Beram Kayal,ISR,MF,30,1988,10.4,1,5,2,40.0,0.48,0.19,0.2,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Bernardo,BRA,DF,23,1995,19.5,0,8,3,37.5,0.41,0.15,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Bruno,ESP,DF,37,1980,12.6,0,2,0,0.0,0.16,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Dale Stephens,ENG,MF,29,1989,27.6,1,12,1,8.3,0.43,0.04,0.08,1.0,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,David Button,ENG,GK,29,1989,4.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Davy Pröpper,NED,MF,26,1991,28.3,1,15,2,13.3,0.53,0.07,0.07,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Florin Andone,ROU,FW,25,1993,9.8,3,20,9,45.0,2.04,0.92,0.15,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Gaëtan Bong,CMR,DF,30,1988,20.1,0,2,0,0.0,0.1,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Glenn Murray,ENG,FW,34,1983,27.9,13,54,21,38.9,1.94,0.75,0.24,0.62,4,4,2018,shooting
ENG-Premier League,2018/19,Brighton,José Izquierdo,COL,"MF,FW",26,1992,8.8,0,14,3,21.4,1.58,0.34,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Jürgen Locadia,CUW,"MF,FW",24,1993,13.7,2,28,10,35.7,2.04,0.73,0.07,0.2,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Leon Balogun,NGA,DF,30,1988,6.6,1,1,1,100.0,0.15,0.15,1.0,1.0,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Lewis Dunk,ENG,DF,26,1991,35.0,2,20,4,20.0,0.57,0.11,0.1,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Martín Montoya,ESP,DF,27,1991,24.1,0,8,1,12.5,0.33,0.04,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Mathew Ryan,AUS,GK,26,1992,34.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Pascal Groß,GER,MF,27,1991,20.7,3,24,9,37.5,1.16,0.43,0.13,0.33,1,2,2018,shooting
ENG-Premier League,2018/19,Brighton,Shane Duffy,IRL,DF,26,1992,34.3,5,37,16,43.2,1.08,0.47,0.14,0.31,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Solly March,ENG,"MF,FW",24,1994,27.4,1,43,9,20.9,1.57,0.33,0.02,0.11,0,0,2018,shooting
ENG-Premier League,2018/19,Brighton,Yves Bissouma,MLI,MF,21,1996,19.7,0,31,3,9.7,1.57,0.15,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Aaron Lennon,ENG,MF,31,1987,13.5,1,4,2,50.0,0.3,0.15,0.25,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Ashley Barnes,ENG,FW,28,1989,26.5,12,65,30,46.2,2.45,1.13,0.18,0.4,2,2,2018,shooting
ENG-Premier League,2018/19,Burnley,Ashley Westwood,ENG,MF,28,1990,31.4,2,22,7,31.8,0.7,0.22,0.09,0.29,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Ben Gibson,ENG,DF,25,1993,0.7,1,1,1,100.0,1.45,1.45,1.0,1.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Ben Mee,ENG,DF,28,1989,38.0,0,21,4,19.0,0.55,0.11,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Charlie Taylor,ENG,DF,24,1993,36.0,0,6,0,0.0,0.17,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Chris Wood,NZL,FW,26,1991,28.8,10,58,24,41.4,2.02,0.83,0.17,0.42,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Dwight McNeil,ENG,MF,18,1999,17.7,3,27,6,22.2,1.53,0.34,0.11,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Jack Cork,ENG,MF,29,1989,36.8,1,18,2,11.1,0.49,0.05,0.06,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,James Tarkowski,ENG,DF,25,1992,34.3,3,22,10,45.5,0.64,0.29,0.14,0.3,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Jeff Hendrick,IRL,MF,26,1992,22.9,3,19,5,26.3,0.83,0.22,0.16,0.6,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Joe Hart,ENG,GK,31,1987,19.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Jóhann Berg Guðmundsson,ISL,MF,27,1990,19.5,3,32,9,28.1,1.64,0.46,0.09,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Kevin Long,IRL,DF,27,1990,5.7,0,1,0,0.0,0.18,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Matthew Lowton,ENG,DF,29,1989,19.4,0,4,1,25.0,0.21,0.05,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Matěj Vydra,CZE,MF,26,1992,3.5,1,6,3,50.0,1.7,0.85,0.17,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Peter Crouch,ENG,FW,37,1981,1.0,0,5,1,20.0,4.89,0.98,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Phil Bardsley,SCO,DF,33,1985,18.6,0,12,1,8.3,0.65,0.05,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Robbie Brady,IRL,MF,26,1992,8.0,0,12,2,16.7,1.5,0.25,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Sam Vokes,WAL,FW,28,1989,10.2,3,22,7,31.8,2.16,0.69,0.14,0.43,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Stephen Ward,IRL,DF,32,1985,2.5,0,1,1,100.0,0.39,0.39,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Steven Defour,BEL,MF,30,1988,5.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Burnley,Tom Heaton,ENG,GK,32,1986,19.0,0,1,0,0.0,0.05,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Aron Gunnarsson,ISL,MF,29,1989,25.2,1,20,4,20.0,0.79,0.16,0.05,0.25,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Bobby De Cordova-Reid,JAM,"MF,FW",25,1993,15.8,5,27,9,33.3,1.71,0.57,0.19,0.56,1,1,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Bruno Ecuele Manga,GAB,DF,30,1988,37.5,0,10,4,40.0,0.27,0.11,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Callum Paterson,SCO,"FW,MF",23,1994,22.2,4,41,8,19.5,1.85,0.36,0.1,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Danny Ward,ENG,FW,26,1991,4.9,1,11,6,54.5,2.22,1.21,0.09,0.17,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Gary Madine,ENG,FW,27,1990,0.4,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Greg Cunningham,IRL,DF,27,1991,7.0,0,2,1,50.0,0.29,0.14,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Harry Arter,IRL,MF,28,1989,22.2,0,23,5,21.7,1.04,0.23,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Jazz Richards,WAL,"DF,MF",27,1991,1.5,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Joe Bennett,ENG,DF,28,1990,29.3,0,10,3,30.0,0.34,0.1,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Joe Ralls,ENG,MF,24,1993,21.8,0,23,3,13.0,1.06,0.14,0.0,0.0,0,1,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Josh Murphy,ENG,"MF,FW",23,1995,20.2,3,47,16,34.0,2.33,0.79,0.06,0.19,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Junior Hoilett,CAN,MF,28,1990,23.8,3,40,10,25.0,1.68,0.42,0.08,0.3,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Kadeem Harris,ENG,MF,25,1993,4.2,1,5,3,60.0,1.2,0.72,0.2,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Kenneth Zohore,DEN,FW,24,1994,8.4,1,17,8,47.1,2.03,0.96,0.06,0.13,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Leandro Bacuna,CUW,MF,26,1991,6.2,0,5,1,20.0,0.8,0.16,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Lee Peltier,ENG,DF,31,1986,17.2,0,1,1,100.0,0.06,0.06,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Loïc Damour,FRA,MF,27,1991,0.3,0,1,0,0.0,3.91,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Nathaniel Mendez-Laing,GUA,MF,26,1992,10.9,4,20,10,50.0,1.83,0.91,0.2,0.4,1,1,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Oumar Niasse,SEN,FW,28,1990,10.3,0,17,6,35.3,1.64,0.58,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Rhys Healey,WAL,FW,23,1994,0.6,0,1,0,0.0,1.73,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Sean Morrison,ENG,DF,27,1991,33.8,1,35,10,28.6,1.04,0.3,0.03,0.1,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Sol Bamba,CIV,DF,33,1985,27.5,4,22,7,31.8,0.8,0.25,0.18,0.57,0,0,2018,shooting
ENG-Premier League,2018/19,Cardiff City,Víctor Camarasa,ESP,MF,24,1994,28.5,5,41,12,29.3,1.44,0.42,0.12,0.42,1,1,2018,shooting
ENG-Premier League,2018/19,Chelsea,Andreas Christensen,DEN,DF,22,1996,6.9,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Antonio Rüdiger,GER,DF,25,1993,31.9,1,27,6,22.2,0.85,0.19,0.04,0.17,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Callum Hudson-Odoi,ENG,FW,17,2000,4.4,0,6,3,50.0,1.37,0.69,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Cesc Fàbregas,ESP,MF,31,1987,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,César Azpilicueta,ESP,DF,28,1989,37.8,1,17,7,41.2,0.45,0.19,0.06,0.14,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,David Luiz,BRA,DF,31,1987,36.0,3,34,8,23.5,0.95,0.22,0.09,0.38,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Davide Zappacosta,ITA,DF,26,1992,1.4,0,2,1,50.0,1.41,0.7,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Eden Hazard,BEL,FW,27,1991,32.5,16,93,43,46.2,2.86,1.32,0.17,0.37,4,4,2018,shooting
ENG-Premier League,2018/19,Chelsea,Emerson Palmieri,ITA,DF,23,1994,7.4,0,5,1,20.0,0.68,0.14,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Gary Cahill,ENG,DF,32,1985,0.3,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Gonzalo Higuaín,ARG,FW,30,1987,12.1,5,46,15,32.6,3.82,1.24,0.11,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Jorginho,ITA,MF,26,1991,35.1,2,19,7,36.8,0.54,0.2,0.11,0.29,1,1,2018,shooting
ENG-Premier League,2018/19,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Marcos Alonso,ESP,DF,27,1990,30.7,2,45,7,15.6,1.47,0.23,0.04,0.29,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Mateo Kovačić,CRO,MF,24,1994,19.3,0,28,4,14.3,1.45,0.21,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,N'Golo Kanté,FRA,MF,27,1991,34.4,4,29,6,20.7,0.84,0.17,0.14,0.67,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Olivier Giroud,FRA,FW,31,1986,9.4,2,33,10,30.3,3.51,1.06,0.06,0.2,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Pedro,ESP,FW,31,1987,19.8,8,57,25,43.9,2.89,1.27,0.14,0.32,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Ross Barkley,ENG,MF,24,1993,13.8,3,40,9,22.5,2.89,0.65,0.08,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Ruben Loftus-Cheek,ENG,MF,22,1996,11.1,6,28,8,28.6,2.53,0.72,0.21,0.75,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Victor Moses,NGA,"FW,MF",27,1990,0.3,0,1,0,0.0,3.21,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Willian,BRA,FW,29,1988,23.3,3,62,22,35.5,2.66,0.94,0.05,0.14,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Willy Caballero,ARG,GK,36,1981,2.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Chelsea,Álvaro Morata,ESP,FW,25,1992,10.5,5,35,16,45.7,3.35,1.53,0.14,0.31,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Aaron Wan-Bissaka,COD,DF,20,1997,34.8,0,9,0,0.0,0.26,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Alexander Sørloth,NOR,FW,22,1995,2.1,0,4,1,25.0,1.95,0.49,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Andros Townsend,ENG,"FW,MF",27,1991,33.4,6,63,19,30.2,1.88,0.57,0.1,0.32,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Bakary Sako,MLI,"FW,MF",30,1988,0.3,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Cheikhou Kouyaté,SEN,MF,28,1989,21.1,0,20,8,40.0,0.95,0.38,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Christian Benteke,BEL,FW,27,1990,9.0,1,25,8,32.0,2.76,0.88,0.04,0.13,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Connor Wickham,ENG,"FW,MF",25,1993,0.7,0,5,1,20.0,6.72,1.34,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,James McArthur,SCO,MF,30,1987,34.0,3,34,8,23.5,1.0,0.24,0.09,0.38,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,James Tomkins,ENG,DF,29,1989,28.4,1,22,6,27.3,0.77,0.21,0.05,0.17,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Jason Puncheon,ENG,MF,32,1986,0.1,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Jeffrey Schlupp,GHA,MF,25,1992,18.6,4,28,8,28.6,1.51,0.43,0.14,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Joel Ward,ENG,DF,28,1989,6.1,1,2,1,50.0,0.33,0.16,0.5,1.0,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Jordan Ayew,GHA,FW,26,1991,13.1,1,27,3,11.1,2.06,0.23,0.04,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Julián Speroni,ARG,GK,39,1979,1.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Luka Milivojević,SRB,MF,27,1991,38.0,12,57,25,43.9,1.5,0.66,0.21,0.48,10,11,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Luke Dreher,ENG,MF,19,1998,0.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Mamadou Sakho,FRA,DF,28,1990,26.8,0,4,1,25.0,0.15,0.04,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Martin Kelly,ENG,DF,28,1990,12.3,0,3,1,33.3,0.24,0.08,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Max Meyer,GER,MF,22,1995,15.7,1,38,8,21.1,2.42,0.51,0.03,0.13,0,0,2018,shooting
ENG-Premier League,2018/19,Crystal Palace,Michy Batshuayi,BEL,FW,24,1993,8.3,5,27,10,37.0,3.24,1.2,0.19,0.5,0,0,2018,shooting
